ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL3751854,,,Small molecule,0,324.41,5,7,4.00,51.22,4,1,0,5,N,0.77,7.91,None,4.26,4.15,3,MOL,-1,23,4,1,0,324.0932,NEUTRAL,C18H16N2O2S,COc1ccc(CC(=O)Nc2nc(-c3ccccc3)cs2)cc1
CHEMBL32749,FERULATE,Ferulic acid,Small molecule,0,194.19,267,1092,1.50,66.76,3,2,0,3,N,0.72,3.58,None,1.67,-1.68,1,MOL,0,14,4,2,0,194.0579,ACID,C10H10O4,COc1cc(/C=C/C(=O)O)ccc1O
CHEMBL3818600,,,Small molecule,0,412.45,6,24,3.70,70.83,5,0,0,3,N,0.48,None,2.99,3.36,3.36,3,MOL,-1,31,6,0,0,412.1423,NEUTRAL,C25H20N2O4,O=C1C(=Cc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)C(=O)c2ccccc21
CHEMBL231160,MEMOQUIN,Memoquin,Small molecule,0,632.89,14,57,6.27,83.14,8,2,2,24,N,0.10,None,8.51,6.40,4.65,2,MOL,-1,46,8,2,2,632.4302,BASE,C38H56N4O4,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC
CHEMBL3740667,,,Small molecule,0,175.19,1,3,1.19,45.56,3,0,0,1,Y,0.64,None,3.85,0.31,0.31,1,MOL,-1,13,4,0,0,175.0746,NEUTRAL,C9H9N3O,CC1=NN(c2cccnc2)C(=O)C1
CHEMBL3740761,,,Small molecule,0,202.26,1,3,2.36,32.67,2,0,0,2,Y,0.72,None,None,2.48,2.48,1,MOL,-1,15,3,0,0,202.1106,NEUTRAL,C12H14N2O,CCc1ccccc1N1N=C(C)CC1=O
CHEMBL3357256,,,Small molecule,0,268.3,3,8,2.96,63.83,4,2,0,3,N,0.77,None,6.86,3.21,3.10,3,MOL,-1,20,4,3,0,268.1124,NEUTRAL,C15H13FN4,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1
CHEMBL1171146,SARSASAPOGENIN,Sarsasapogenin,Small molecule,0,416.65,16,28,5.79,38.69,3,1,1,0,N,0.54,None,None,5.33,5.33,0,MOL,-1,30,3,1,1,416.329,NEUTRAL,C27H44O3,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
CHEMBL3667019,,,Small molecule,0,476.33,1,1,5.15,93.06,6,2,1,8,N,0.31,8.74,None,7.30,7.28,2,MOL,-1,33,6,2,1,476.0695,NEUTRAL,C21H14F6O6,O=C(/C=C/c1ccc(O)c(OC(F)(F)F)c1)CC(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL2408102,,,Small molecule,0,339.39,3,3,3.44,75.63,4,2,0,6,N,0.62,7.10,None,3.93,3.46,2,MOL,-1,25,5,2,0,339.1471,NEUTRAL,C20H21NO4,COc1ccc(C(=O)/C=C/c2ccc(C(=O)NC(C)C)cc2)c(O)c1
CHEMBL374055,"7'',4'''-dimethylamentoflavone","7'',4'''-dimethylamentoflavone",Small molecule,0,566.52,11,13,5.74,159.80,10,4,2,5,N,0.20,6.51,None,5.38,4.10,6,MOL,-1,42,10,4,2,566.1213,NEUTRAL,C32H22O10,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1
CHEMBL3400292,,,Small molecule,0,427.5,1,1,3.40,116.76,5,4,0,12,N,0.39,3.02,4.23,2.24,-0.28,2,MOL,-1,31,8,4,0,427.2107,ACID,C23H29N3O5,CNc1ccc(C(=O)NC(CCCCCNC(=O)OCc2ccccc2)C(=O)O)cc1
CHEMBL164,MYRICETIN,NSC-407290,Small molecule,0,318.24,274,792,1.69,151.59,8,6,1,1,N,0.37,6.37,None,1.85,0.65,3,MOL,-1,23,8,6,1,318.0376,ACID,C15H10O8,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL4763981,,,,0,559.71,4,4,6.12,79.26,6,2,2,8,N,0.25,None,9.65,5.09,2.86,4,MOL,-1,42,7,2,2,559.2947,BASE,C35H37N5O2,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1
CHEMBL3798813,,,Small molecule,0,432.48,4,4,4.02,97.75,6,2,0,6,N,0.45,9.82,5.83,4.45,4.44,3,MOL,-1,32,7,2,0,432.1685,NEUTRAL,C25H24N2O5,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O
