Molecule_ChEMBL_ID,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL3751854,0,324.41,5,7,4.0,51.22,4.0,1.0,0.0,5.0,N,0.77,4.26,4.15,3.0,MOL,-1,23.0,4.0,1.0,0.0,324.0932,NEUTRAL,C18H16N2O2S,COc1ccc(CC(=O)Nc2nc(-c3ccccc3)cs2)cc1
CHEMBL32749,0,194.19,267,1092,1.5,66.76,3.0,2.0,0.0,3.0,N,0.72,1.67,-1.68,1.0,MOL,0,14.0,4.0,2.0,0.0,194.0579,ACID,C10H10O4,COc1cc(/C=C/C(=O)O)ccc1O
CHEMBL3818600,0,412.45,6,24,3.7,70.83,5.0,0.0,0.0,3.0,N,0.48,3.36,3.36,3.0,MOL,-1,31.0,6.0,0.0,0.0,412.1423,NEUTRAL,C25H20N2O4,O=C1C(=Cc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)C(=O)c2ccccc21
CHEMBL231160,0,632.89,14,57,6.27,83.14,8.0,2.0,2.0,24.0,N,0.1,6.4,4.65,2.0,MOL,-1,46.0,8.0,2.0,2.0,632.4302,BASE,C38H56N4O4,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC
CHEMBL3740667,0,175.19,1,3,1.19,45.56,3.0,0.0,0.0,1.0,Y,0.64,0.31,0.31,1.0,MOL,-1,13.0,4.0,0.0,0.0,175.0746,NEUTRAL,C9H9N3O,CC1=NN(c2cccnc2)C(=O)C1
CHEMBL3740761,0,202.26,1,3,2.36,32.67,2.0,0.0,0.0,2.0,Y,0.72,2.48,2.48,1.0,MOL,-1,15.0,3.0,0.0,0.0,202.1106,NEUTRAL,C12H14N2O,CCc1ccccc1N1N=C(C)CC1=O
CHEMBL3357256,0,268.3,3,8,2.96,63.83,4.0,2.0,0.0,3.0,N,0.77,3.21,3.1,3.0,MOL,-1,20.0,4.0,3.0,0.0,268.1124,NEUTRAL,C15H13FN4,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1
CHEMBL1171146,0,416.65,16,28,5.79,38.69,3.0,1.0,1.0,0.0,N,0.54,5.33,5.33,0.0,MOL,-1,30.0,3.0,1.0,1.0,416.329,NEUTRAL,C27H44O3,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
CHEMBL3667019,0,476.33,1,1,5.15,93.06,6.0,2.0,1.0,8.0,N,0.31,7.3,7.28,2.0,MOL,-1,33.0,6.0,2.0,1.0,476.0695,NEUTRAL,C21H14F6O6,O=C(/C=C/c1ccc(O)c(OC(F)(F)F)c1)CC(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL2408102,0,339.39,3,3,3.44,75.63,4.0,2.0,0.0,6.0,N,0.62,3.93,3.46,2.0,MOL,-1,25.0,5.0,2.0,0.0,339.1471,NEUTRAL,C20H21NO4,COc1ccc(C(=O)/C=C/c2ccc(C(=O)NC(C)C)cc2)c(O)c1
CHEMBL374055,0,566.52,11,13,5.74,159.8,10.0,4.0,2.0,5.0,N,0.2,5.38,4.1,6.0,MOL,-1,42.0,10.0,4.0,2.0,566.1213,NEUTRAL,C32H22O10,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1
CHEMBL3400292,0,427.5,1,1,3.4,116.76,5.0,4.0,0.0,12.0,N,0.39,2.24,-0.28,2.0,MOL,-1,31.0,8.0,4.0,0.0,427.2107,ACID,C23H29N3O5,CNc1ccc(C(=O)NC(CCCCCNC(=O)OCc2ccccc2)C(=O)O)cc1
CHEMBL164,0,318.24,274,792,1.69,151.59,8.0,6.0,1.0,1.0,N,0.37,1.85,0.65,3.0,MOL,-1,23.0,8.0,6.0,1.0,318.0376,ACID,C15H10O8,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL4763981,0,559.71,4,4,6.12,79.26,6.0,2.0,2.0,8.0,N,0.25,5.09,2.86,4.0,MOL,-1,42.0,7.0,2.0,2.0,559.2947,BASE,C35H37N5O2,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1
CHEMBL3798813,0,432.48,4,4,4.02,97.75,6.0,2.0,0.0,6.0,N,0.45,4.45,4.44,3.0,MOL,-1,32.0,7.0,2.0,0.0,432.1685,NEUTRAL,C25H24N2O5,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O
CHEMBL309490,0,270.24,116,298,2.58,90.9,5.0,3.0,0.0,1.0,N,0.63,2.76,1.64,3.0,MOL,-1,20.0,5.0,3.0,0.0,270.0528,ACID,C15H10O5,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
CHEMBL3330739,0,437.59,6,11,8.43,20.31,4.0,0.0,1.0,6.0,N,0.25,7.99,7.99,5.0,MOL,-1,31.0,2.0,0.0,1.0,437.0908,None,C27H19NOS2,O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1
CHEMBL3798989,0,420.47,4,4,3.93,86.75,6.0,1.0,0.0,6.0,N,0.61,4.06,4.05,3.0,MOL,-1,31.0,7.0,1.0,0.0,420.1685,NEUTRAL,C24H24N2O5,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1
CHEMBL1091513,0,517.93,443,525,4.67,80.31,4.0,1.0,1.0,5.0,N,0.58,5.54,4.76,2.0,MOL,-1,32.0,5.0,1.0,1.0,517.0208,ACID,C19H17ClF5NO4S2,O=S(=O)(NC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F
CHEMBL3330746,0,588.82,5,7,11.35,25.24,6.0,0.0,2.0,6.0,N,0.18,10.37,10.37,7.0,MOL,-1,41.0,3.0,0.0,2.0,588.1364,None,C35H28N2OS3,CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=O)s3)cc21
CHEMBL3593277,0,828.79,3,4,2.29,217.7,13.0,2.0,2.0,12.0,N,0.14,-3.95,-3.95,5.0,MOL,-1,47.0,16.0,4.0,2.0,679.1388,NEUTRAL,C30H27F3N8O11S3,CCN1/C(=C/C=C/c2sc3ccc(OCc4no[n+]([O-])c4C(N)=O)cc3[n+]2CC)Sc2ccc(OCc3no[n+]([O-])c3C(N)=O)cc21.O=S(=O)([O-])C(F)(F)F
CHEMBL2402064,0,361.44,2,3,5.19,50.72,4.0,2.0,1.0,7.0,N,0.57,4.89,4.89,3.0,MOL,-1,27.0,4.0,2.0,1.0,361.1678,NEUTRAL,C23H23NO3,COc1cc(/C=C/c2ccc(NCc3ccccc3O)cc2)cc(OC)c1
CHEMBL4589690,0,552.49,1,1,5.86,159.8,10.0,4.0,2.0,5.0,N,0.2,5.39,2.07,6.0,MOL,-1,41.0,10.0,4.0,2.0,552.1056,ACID,C31H20O10,COc1ccc(-c2cc(=O)c3c(O)c(Oc4ccc(-c5cc(=O)c6c(O)cc(O)cc6o5)cc4)c(O)cc3o2)cc1
CHEMBL3741300,0,461.61,2,4,3.8,61.88,4.0,1.0,0.0,0.0,N,0.64,3.23,1.9,1.0,MOL,-1,34.0,6.0,1.0,0.0,461.2678,BASE,C28H35N3O3,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6C=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C
