Molecule_ChEMBL_ID,Standard_Value,Smiles_x,molecule_class,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles_y
CHEMBL240055,0.3,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,active,0.0,622.18,2.0,2.0,6.52,70.16,5.0,0.0,2.0,6.0,N,0.37,5.74,3.68,2.0,MOL,-1.0,42.0,7.0,0.0,2.0,621.224,BASE,C31H38ClF2N3O4S,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1
CHEMBL1091513,0.65,O=S(=O)(NC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F,active,0.0,517.93,443.0,525.0,4.67,80.31,4.0,1.0,1.0,5.0,N,0.58,5.54,4.76,2.0,MOL,-1.0,32.0,5.0,1.0,1.0,517.0208,ACID,C19H17ClF5NO4S2,O=S(=O)(NC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F
CHEMBL4110988,0.7,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC(C)C)cc1[C@]21N=C(C)C(N)=N1,active,0.0,363.51,2.0,2.0,3.81,59.97,4.0,1.0,0.0,1.0,N,0.77,4.97,4.97,1.0,MOL,-1.0,27.0,4.0,2.0,0.0,363.2311,NEUTRAL,C23H29N3O,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC(C)C)cc1[C@]21N=C(C)C(N)=N1
CHEMBL3898248,0.7,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC(F)(F)F)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,409.45,2.0,2.0,4.13,69.2,5.0,1.0,0.0,4.0,N,0.81,4.55,4.54,1.0,MOL,-1.0,29.0,5.0,2.0,0.0,409.1977,NEUTRAL,C21H26F3N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC(F)(F)F)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3939963,0.8,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC3CC3)cc1C21N=C(C)C(N)=N1,active,0.0,381.52,2.0,2.0,3.98,69.2,5.0,1.0,0.0,5.0,N,0.84,4.25,4.24,1.0,MOL,-1.0,28.0,5.0,2.0,0.0,381.2416,NEUTRAL,C23H31N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC3CC3)cc1C21N=C(C)C(N)=N1
CHEMBL3902640,0.8,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(Cl)cc(C#N)c3)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,450.95,2.0,2.0,5.13,83.76,5.0,1.0,1.0,2.0,N,0.69,5.51,5.51,2.0,MOL,-1.0,32.0,5.0,2.0,1.0,450.1623,NEUTRAL,C25H24ClFN4O,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(Cl)cc(C#N)c3)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3937398,0.9,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,367.49,2.0,2.0,3.59,69.2,5.0,1.0,0.0,4.0,N,0.88,3.88,3.88,1.0,MOL,-1.0,27.0,5.0,2.0,0.0,367.226,NEUTRAL,C22H29N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3672723,1.0,COc1cc(C#N)cc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC3)CC[C@@H](OC)CC2)c1,active,0.0,442.56,2.0,2.0,4.74,92.99,6.0,1.0,0.0,3.0,N,0.74,5.05,5.05,2.0,MOL,-1.0,33.0,6.0,2.0,0.0,442.2369,NEUTRAL,C27H30N4O2,COc1cc(C#N)cc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC3)CC[C@@H](OC)CC2)c1
CHEMBL1086286,1.0,CCS(=O)(=O)NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,active,0.0,520.02,2.0,4.0,4.04,89.54,5.0,1.0,1.0,6.0,N,0.62,3.58,3.58,2.0,MOL,-1.0,33.0,6.0,1.0,1.0,519.0752,NEUTRAL,C22H24ClF2NO5S2,CCS(=O)(=O)NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL3653726,1.0,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](O)CC2)C3)c1,active,0.0,398.51,2.0,3.0,3.58,83.86,5.0,2.0,0.0,1.0,N,0.72,4.03,4.03,2.0,MOL,-1.0,30.0,5.0,3.0,0.0,398.2107,NEUTRAL,C25H26N4O,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](O)CC2)C3)c1
CHEMBL3927449,1.3,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,381.52,2.0,2.0,3.98,69.2,5.0,1.0,0.0,4.0,N,0.86,4.32,4.32,1.0,MOL,-1.0,28.0,5.0,2.0,0.0,381.2416,NEUTRAL,C23H31N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3943313,1.4,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)CCn1cccn1,active,0.0,587.07,1.0,1.0,3.79,104.56,8.0,0.0,1.0,8.0,N,0.4,2.61,2.61,3.0,MOL,-1.0,38.0,8.0,0.0,1.0,586.0811,NEUTRAL,C25H25ClF2N2O6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)CCn1cccn1
CHEMBL3961886,1.5,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1C21N=C(C)C(N)=N1,active,0.0,381.52,2.0,3.0,3.98,69.2,5.0,1.0,0.0,4.0,N,0.86,4.32,4.32,1.0,MOL,-1.0,28.0,5.0,2.0,0.0,381.2416,NEUTRAL,C23H31N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1C21N=C(C)C(N)=N1
